PN,ATA,ALT_KATEGORI,AILE,MODEL,KRITIKLIK,ATOLYE,TEMIN_KANALI,LEAD_TIME_GUN,TALEP_2025,CEYREK_ORAN_2025_SBA,FILO_BUYUME_KATSAYISI,TALEP_2033_YILLIK,SERVIS_SEVIYESI_HEDEF,EMNIYET_STOGU,MIN_2025,MAX_2025,MIN_2033,MAX_2033,SCRAP_ORANI,SCRAP_2033_YILLIK,AOG_RISK_SKORU,ALARM_2033
PN-100169,21,AIR CONDITIONING,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,4.0,6,1.96,2.96,22.6,0.95,1.0,2.0,4.0,2.0,8.0,0.0,0.0,37.4,False
PN-104167,25,EQUIPMENT / FURNISHINGS,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,5.0,7,1.75,2.96,20.3,0.95,1.0,2.0,4.0,2.0,8.0,0.143,2.9,37.4,False
PN-100208,27,FLIGHT CONTROLS,AIRBUS,A320-200,KRİTİK,YOK,Yurtdışı tamir,24.0,17,4.25,0.64,10.7,0.95,2.0,4.0,9.0,3.0,6.0,0.118,1.3,37.4,False
PN-101909,79,OIL,AIRBUS,A320-200,KRİTİK,YOK,Satınalma,27.0,6,1.19,0.64,3.0,0.95,1.0,2.0,4.0,2.0,3.0,0.0,0.0,37.4,False
PN-101800,22,AUTO FLIGHT,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,10.0,2,0.57,2.96,6.9,0.95,1.0,2.0,3.0,2.0,4.0,0.0,0.0,37.4,False
PN-104534,21,AIR CONDITIONING,AIRBUS,A320-200,AOG KRİTİK,VAR,Yurtiçi tamir,10.0,8,2.0,0.64,5.2,0.98,1.0,2.0,4.0,2.0,4.0,0.125,0.6,37.3,False
PN-101436,32,LANDING GEAR,AIRBUS,A321-200,AOG KRİTİK,VAR,Yurtiçi tamir,6.0,24,6.0,0.69,16.3,0.98,2.0,3.0,9.0,3.0,8.0,0.083,1.4,37.3,False
PN-101036,77,ENGINE INDICATING,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,34.0,5,1.11,2.59,11.1,0.9,2.0,2.0,4.0,4.0,7.0,0.4,4.4,37.3,False
PN-100842,77,ENGINE INDICATING,AIRBUS,A320-200,AOG KRİTİK,VAR,Yurtiçi tamir,12.0,0,0.0,0.64,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3,False
PN-100103,21,AIR CONDITIONING,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,25.0,14,3.5,0.56,7.7,0.95,2.0,3.0,7.0,3.0,5.0,0.0,0.0,37.3,False
PN-100117,24,ELECTRICAL POWER,BOEING,737 MAX 8,KRİTİK DEĞİL,VAR,Yurtiçi tamir,4.0,81,20.25,3.81,308.0,0.9,3.0,3.0,24.0,7.0,84.0,0.21,64.6,37.3,False
PN-100666,35,OXYGEN,AIRBUS,A320-200,KRİTİK,YOK,Yurtdışı tamir,25.0,12,3.0,0.64,7.6,0.95,2.0,3.0,6.0,3.0,5.0,0.083,0.6,37.3,False
PN-101388,77,ENGINE INDICATING,BOEING,777-300ER,KRİTİK DEĞİL,YOK,Satınalma,41.0,38,9.5,1.67,61.8,0.9,4.0,8.0,18.0,11.0,27.0,0.132,8.1,37.3,False
PN-103747,80,STARTING,BOEING,787-9,KRİTİK DEĞİL,VAR,Yurtiçi tamir,6.0,172,43.0,3.75,627.9,0.9,5.0,6.0,49.0,16.0,173.0,0.14,87.6,37.3,False
PN-104073,79,OIL,AIRBUS,A350-900,KRİTİK DEĞİL,VAR,Yurtiçi tamir,11.0,25,6.25,3.75,91.8,0.9,3.0,3.0,10.0,6.0,29.0,0.08,7.3,37.3,False
PN-104203,24,ELECTRICAL POWER,AIRBUS,A320-200,AOG KRİTİK,VAR,Yurtiçi tamir,4.0,35,8.75,0.64,22.0,0.98,2.0,3.0,12.0,3.0,9.0,0.057,1.3,37.3,False
PN-100853,27,FLIGHT CONTROLS,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,26.0,6,1.3,0.69,3.5,0.95,1.0,3.0,5.0,2.0,3.0,0.167,0.6,37.2,False
PN-102703,74,IGNITION,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,11.0,1,0.21,2.96,2.4,0.95,1.0,2.0,3.0,2.0,3.0,0.0,0.0,37.2,False
PN-102675,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A319-100,AOG KRİTİK,VAR,Yurtiçi tamir,7.0,22,5.5,0.56,12.1,0.98,1.0,3.0,9.0,2.0,6.0,0.0,0.0,37.2,False
PN-102359,26,FIRE PROTECTION,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,20.0,19,4.75,2.59,48.0,0.9,3.0,4.0,9.0,6.0,18.0,0.053,2.5,37.2,False
PN-104278,72,ENGINE,AIRBUS,A321-200,AOG KRİTİK,VAR,Yurtiçi tamir,9.0,10,2.5,0.69,6.8,0.98,1.0,3.0,6.0,2.0,4.0,0.1,0.7,37.2,False
PN-100409,21,AIR CONDITIONING,AIRBUS,A330-300,AOG KRİTİK,VAR,Yurtiçi tamir,4.0,11,2.75,1.11,11.9,0.98,1.0,2.0,5.0,2.0,5.0,0.182,2.2,37.2,False
PN-102753,52,DOORS,BOEING,737-900ER,AOG KRİTİK,VAR,Yurtiçi tamir,9.0,8,1.89,1.0,7.3,0.98,1.0,2.0,4.0,2.0,4.0,0.125,0.9,37.2,False
PN-104604,26,FIRE PROTECTION,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,32.0,6,1.5,2.59,15.6,0.9,2.0,2.0,4.0,4.0,8.0,0.167,2.6,37.2,False
PN-100207,80,STARTING,AIRBUS,A320neo,KRİTİK,VAR,Yurtiçi tamir,7.0,16,4.0,2.59,40.5,0.95,2.0,2.0,6.0,3.0,14.0,0.0,0.0,37.2,False
PN-101196,71,POWER PLANT,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,24.0,13,3.25,0.69,8.9,0.95,2.0,3.0,7.0,3.0,6.0,0.231,2.1,37.2,False
PN-102430,24,ELECTRICAL POWER,BOEING,737-800,AOG KRİTİK,VAR,Yurtiçi tamir,6.0,28,7.0,0.56,15.1,0.98,2.0,3.0,10.0,3.0,7.0,0.107,1.6,37.2,False
PN-100198,29,HYDRAULIC POWER,AIRBUS,A321-200,AOG KRİTİK,VAR,Yurtiçi tamir,7.0,19,4.75,0.69,13.0,0.98,2.0,3.0,8.0,3.0,7.0,0.053,0.7,37.2,False
PN-102084,24,ELECTRICAL POWER,BOEING,737-800,AOG KRİTİK,VAR,Yurtiçi tamir,10.0,8,2.0,0.56,4.3,0.98,1.0,2.0,4.0,2.0,4.0,0.125,0.5,37.2,False
PN-102216,32,LANDING GEAR,AIRBUS,A321-200,AOG KRİTİK,VAR,Yurtiçi tamir,9.0,9,2.46,0.69,6.7,0.98,1.0,3.0,6.0,2.0,4.0,0.111,0.7,37.2,False
PN-103049,71,POWER PLANT,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,6.0,5,1.29,2.96,15.2,0.95,1.0,2.0,4.0,2.0,6.0,0.4,6.1,37.2,False
PN-103932,71,POWER PLANT,AIRBUS,A320-200,KRİTİK,YOK,Satınalma,27.0,3,0.46,0.64,1.1,0.95,1.0,2.0,3.0,2.0,3.0,0.333,0.4,37.2,False
PN-100935,79,OIL,AIRBUS,A330-300,KRİTİK,YOK,Satınalma,20.0,10,2.5,1.11,11.0,0.95,2.0,3.0,6.0,3.0,6.0,0.3,3.3,37.2,False
PN-103957,72,ENGINE,BOEING,737-800,AOG KRİTİK,VAR,Yurtiçi tamir,9.0,13,3.25,0.56,7.1,0.98,1.0,3.0,7.0,2.0,4.0,0.231,1.6,37.2,False
PN-103588,52,DOORS,AIRBUS,A321-200,KRİTİK,YOK,Yurtdışı tamir,26.0,5,1.29,0.69,3.5,0.95,1.0,2.0,4.0,2.0,3.0,0.2,0.7,37.2,False
PN-101469,22,AUTO FLIGHT,AIRBUS,A320-200,AOG KRİTİK,VAR,Yurtiçi tamir,9.0,12,3.0,0.64,7.5,0.98,1.0,3.0,6.0,2.0,4.0,0.167,1.2,37.2,False
PN-101277,73,ENGINE FUEL AND CONTROL,AIRBUS,A320-200,KRİTİK,YOK,Satınalma,23.0,19,4.75,0.64,11.8,0.95,2.0,4.0,9.0,3.0,6.0,0.105,1.2,37.2,False
PN-104867,29,HYDRAULIC POWER,BOEING,737-900ER,AOG KRİTİK,VAR,Yurtiçi tamir,5.0,18,4.5,1.0,17.4,0.98,2.0,3.0,8.0,3.0,8.0,0.222,3.9,37.2,False
PN-103356,22,AUTO FLIGHT,AIRBUS,A330-300,AOG KRİTİK,VAR,Yurtiçi tamir,6.0,7,1.44,1.11,6.3,0.98,1.0,2.0,4.0,2.0,4.0,0.0,0.0,37.2,False
PN-103182,72,ENGINE,AIRBUS,A320-200,AOG KRİTİK,VAR,Yurtiçi tamir,9.0,12,3.0,0.64,7.5,0.98,1.0,3.0,6.0,2.0,4.0,0.0,0.0,37.2,False
PN-100369,73,ENGINE FUEL AND CONTROL,AIRBUS,A319-100,KRİTİK,YOK,Yurtdışı tamir,26.0,7,1.55,0.56,3.3,0.95,1.0,3.0,5.0,2.0,3.0,0.0,0.0,37.2,False
PN-103114,30,ICE & RAIN PROTECTION,AIRBUS,A350-900,KRİTİK DEĞİL,VAR,Yurtiçi tamir,5.0,40,10.0,3.75,146.8,0.9,2.0,2.0,12.0,5.0,42.0,0.05,7.3,37.1,False
PN-100821,56,WINDOWS,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,27.0,0,0.0,2.96,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1,False
PN-100814,73,ENGINE FUEL AND CONTROL,AIRBUS,A321-200,KRİTİK,YOK,Yurtdışı tamir,26.0,6,1.07,0.69,2.9,0.95,1.0,2.0,4.0,2.0,3.0,0.0,0.0,37.1,False
PN-102895,35,OXYGEN,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,24.0,2,0.65,2.96,7.7,0.9,1.0,2.0,3.0,2.0,4.0,0.0,0.0,37.1,False
PN-101484,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A321-200,AOG KRİTİK,VAR,Yurtiçi tamir,9.0,9,2.25,0.69,6.1,0.98,1.0,2.0,5.0,2.0,4.0,0.222,1.4,37.1,False
PN-101857,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A321-200,KRİTİK,YOK,Satınalma,21.0,23,5.75,0.69,15.5,0.95,2.0,4.0,10.0,3.0,7.0,0.174,2.7,37.1,False
PN-104517,22,AUTO FLIGHT,AIRBUS,A319-100,KRİTİK,YOK,Satınalma,23.0,20,5.0,0.56,10.8,0.95,2.0,4.0,9.0,3.0,6.0,0.0,0.0,37.1,False
PN-101804,24,ELECTRICAL POWER,AIRBUS,A319-100,AOG KRİTİK,VAR,Yurtiçi tamir,10.0,8,1.76,0.56,3.8,0.98,1.0,2.0,4.0,2.0,3.0,0.125,0.5,37.1,False
PN-101659,27,FLIGHT CONTROLS,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,33.0,5,1.12,2.59,11.7,0.9,2.0,2.0,4.0,4.0,7.0,0.4,4.7,37.1,False
PN-101495,32,LANDING GEAR,AIRBUS,A319-100,AOG KRİTİK,VAR,Yurtiçi tamir,8.0,16,4.0,0.56,8.6,0.98,1.0,3.0,7.0,2.0,5.0,0.125,1.1,37.1,False
PN-100314,27,FLIGHT CONTROLS,AIRBUS,A319-100,KRİTİK,YOK,Satınalma,26.0,5,1.21,0.56,2.6,0.95,1.0,2.0,4.0,2.0,3.0,0.4,1.0,37.1,False
PN-100280,28,FUEL,AIRBUS,A320-200,KRİTİK,YOK,Satınalma,26.0,5,0.99,0.64,2.5,0.95,1.0,2.0,3.0,2.0,3.0,0.2,0.5,37.1,False
PN-100209,73,ENGINE FUEL AND CONTROL,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,26.0,5,1.25,0.56,2.7,0.95,1.0,2.0,4.0,2.0,3.0,0.0,0.0,37.1,False
PN-100760,25,EQUIPMENT / FURNISHINGS,AIRBUS,A320-200,KRİTİK,YOK,Satınalma,26.0,4,0.85,0.64,2.1,0.95,1.0,2.0,3.0,2.0,3.0,0.25,0.5,37.1,False
PN-102636,29,HYDRAULIC POWER,AIRBUS,A319-100,AOG KRİTİK,VAR,Yurtiçi tamir,6.0,27,6.75,0.56,14.6,0.98,2.0,3.0,10.0,3.0,7.0,0.111,1.6,37.1,False
PN-103455,76,ENGINE CONTROLS,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,23.0,19,4.75,0.56,10.2,0.95,2.0,4.0,9.0,3.0,6.0,0.158,1.6,37.1,False
PN-100069,34,NAVIGATION,BOEING,787-9,KRİTİK DEĞİL,VAR,Yurtiçi tamir,5.0,44,11.0,3.75,162.8,0.9,2.0,2.0,13.0,5.0,46.0,0.205,33.3,37.1,False
PN-101910,22,AUTO FLIGHT,AIRBUS,A321-200,KRİTİK,YOK,Yurtdışı tamir,26.0,5,1.0,0.69,2.7,0.95,1.0,2.0,3.0,2.0,3.0,0.4,1.1,37.1,False
PN-103821,21,AIR CONDITIONING,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,26.0,3,0.7,0.69,2.0,0.95,1.0,2.0,3.0,2.0,3.0,0.0,0.0,37.1,False
PN-103440,79,OIL,BOEING,737-800,KRİTİK,YOK,Satınalma,25.0,7,2.03,0.56,4.4,0.95,1.0,3.0,6.0,2.0,4.0,0.143,0.6,37.0,False
PN-100076,29,HYDRAULIC POWER,BOEING,737-800,AOG KRİTİK,VAR,Yurtiçi tamir,8.0,15,3.75,0.56,8.2,0.98,1.0,3.0,7.0,2.0,5.0,0.2,1.6,37.0,False
PN-100531,25,EQUIPMENT / FURNISHINGS,AIRBUS,A320-200,KRİTİK,YOK,Yurtdışı tamir,23.0,15,3.75,0.64,9.4,0.95,2.0,3.0,7.0,3.0,6.0,0.267,2.5,37.0,False
PN-100404,34,NAVIGATION,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,26.0,3,0.57,0.69,1.6,0.95,1.0,2.0,3.0,2.0,3.0,0.0,0.0,37.0,False
PN-101376,80,STARTING,AIRBUS,A319-100,KRİTİK,YOK,Satınalma,25.0,7,1.69,0.56,3.7,0.95,1.0,3.0,5.0,2.0,3.0,0.0,0.0,37.0,False
PN-103779,32,LANDING GEAR,AIRBUS,A319-100,AOG KRİTİK,VAR,Yurtiçi tamir,8.0,15,3.75,0.56,8.2,0.98,1.0,3.0,7.0,2.0,5.0,0.067,0.5,37.0,False
PN-103536,21,AIR CONDITIONING,BOEING,777-300ER,KRİTİK,VAR,Yurtiçi tamir,8.0,118,29.5,1.67,193.0,0.95,4.0,6.0,36.0,9.0,58.0,0.085,16.4,37.0,False
PN-104864,76,ENGINE CONTROLS,AIRBUS,A320-200,KRİTİK,YOK,Satınalma,18.0,36,9.0,0.64,22.5,0.95,2.0,5.0,14.0,4.0,10.0,0.083,1.9,37.0,False
PN-102938,77,ENGINE INDICATING,BOEING,777-F,KRİTİK DEĞİL,YOK,Satınalma,18.0,24,6.0,2.5,58.3,0.9,3.0,4.0,10.0,6.0,21.0,0.0,0.0,37.0,False
PN-104062,52,DOORS,AIRBUS,A320-200,KRİTİK,YOK,Yurtdışı tamir,23.0,22,3.79,0.64,9.6,0.95,2.0,3.0,7.0,3.0,6.0,0.045,0.4,37.0,False
PN-100136,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,7.0,5,0.93,2.96,10.7,0.95,1.0,2.0,3.0,2.0,5.0,0.0,0.0,37.0,False
PN-102262,21,AIR CONDITIONING,BOEING,777-300ER,KRİTİK,VAR,Yurtiçi tamir,8.0,86,21.5,1.67,140.7,0.95,3.0,5.0,27.0,7.0,43.0,0.174,24.5,37.0,False
PN-100777,24,ELECTRICAL POWER,AIRBUS,A330-200,KRİTİK DEĞİL,YOK,Yurtdışı tamir,61.0,23,5.75,1.33,30.3,0.9,3.0,7.0,13.0,9.0,17.0,0.174,5.3,37.0,False
PN-104385,71,POWER PLANT,BOEING,777-F,KRİTİK DEĞİL,YOK,Satınalma,34.0,6,1.54,2.5,14.9,0.9,2.0,2.0,4.0,4.0,8.0,0.0,0.0,37.0,False
PN-103759,36,PNEUMATIC,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,24.0,14,3.5,2.59,35.0,0.9,2.0,3.0,7.0,5.0,14.0,0.143,5.0,37.0,False
PN-101571,30,ICE & RAIN PROTECTION,BOEING,737-800,KRİTİK,YOK,Satınalma,26.0,4,0.69,0.56,1.5,0.95,1.0,2.0,3.0,2.0,3.0,0.0,0.0,37.0,False
PN-104483,22,AUTO FLIGHT,BOEING,737-900ER,KRİTİK,YOK,Satınalma,23.0,8,2.0,1.0,8.0,0.95,2.0,3.0,5.0,3.0,5.0,0.0,0.0,36.9,False
PN-103224,49,AIRBORNE AUXILIARY POWER (APU),BOEING,737-900ER,KRİTİK,YOK,Yurtdışı tamir,22.0,11,2.75,1.0,10.6,0.95,2.0,3.0,6.0,3.0,6.0,0.182,1.9,36.9,False
PN-104354,34,NAVIGATION,AIRBUS,A320-200,KRİTİK,YOK,Yurtdışı tamir,24.0,9,2.25,0.64,5.5,0.95,1.0,3.0,6.0,2.0,4.0,0.0,0.0,36.9,False
PN-101644,24,ELECTRICAL POWER,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,8.0,3,0.6,2.96,7.0,0.95,1.0,2.0,3.0,2.0,4.0,0.667,4.7,36.9,False
PN-104010,30,ICE & RAIN PROTECTION,BOEING,737-900ER,KRİTİK,YOK,Yurtdışı tamir,23.0,9,2.25,1.0,8.7,0.95,2.0,3.0,6.0,3.0,6.0,0.444,3.9,36.9,False
PN-102032,23,COMMUNICATIONS,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,24.0,10,2.5,0.56,5.4,0.95,1.0,3.0,6.0,2.0,4.0,0.0,0.0,36.9,False
PN-104389,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A350-900,KRİTİK DEĞİL,VAR,Yurtiçi tamir,7.0,27,6.75,3.75,98.0,0.9,2.0,2.0,9.0,4.0,29.0,0.185,18.1,36.9,False
PN-102512,80,STARTING,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,25.0,12,3.0,2.59,30.8,0.9,2.0,3.0,6.0,5.0,13.0,0.083,2.6,36.9,False
PN-103272,52,DOORS,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,34.0,3,0.69,2.59,6.9,0.9,2.0,2.0,3.0,3.0,5.0,0.333,2.3,36.9,False
PN-100438,23,COMMUNICATIONS,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,24.0,13,3.25,2.59,32.9,0.9,2.0,3.0,7.0,5.0,14.0,0.0,0.0,36.8,False
PN-104736,22,AUTO FLIGHT,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,24.0,7,1.75,0.69,4.7,0.95,1.0,3.0,5.0,2.0,4.0,0.429,2.0,36.8,False
PN-102970,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A350-900,KRİTİK DEĞİL,VAR,Yurtiçi tamir,6.0,27,6.75,3.75,100.0,0.9,2.0,2.0,9.0,4.0,30.0,0.0,0.0,36.8,False
PN-100933,52,DOORS,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,21.0,16,4.0,2.59,40.7,0.9,2.0,3.0,7.0,5.0,16.0,0.0,0.0,36.8,False
PN-100957,52,DOORS,BOEING,777-300ER,KRİTİK,VAR,Yurtiçi tamir,7.0,100,25.0,1.67,163.9,0.95,3.0,5.0,30.0,7.0,48.0,0.09,14.7,36.8,False
PN-101055,80,STARTING,BOEING,737-900ER,AOG KRİTİK,VAR,Yurtiçi tamir,4.0,16,4.0,1.0,15.8,0.98,1.0,2.0,6.0,2.0,6.0,0.062,1.0,36.8,False
PN-102159,29,HYDRAULIC POWER,AIRBUS,A320-200,AOG KRİTİK,VAR,Yurtiçi tamir,8.0,9,2.25,0.64,5.7,0.98,1.0,2.0,5.0,2.0,4.0,0.0,0.0,36.8,False
PN-103120,52,DOORS,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,23.0,4,0.69,2.96,8.1,0.9,1.0,2.0,3.0,2.0,5.0,0.0,0.0,36.8,False
PN-100276,34,NAVIGATION,BOEING,737-800,KRİTİK,YOK,Satınalma,15.0,53,13.25,0.56,28.9,0.95,2.0,6.0,20.0,4.0,12.0,0.057,1.6,36.8,False
PN-104265,80,STARTING,BOEING,737-800,KRİTİK,YOK,Satınalma,24.0,8,1.96,0.56,4.2,0.95,1.0,3.0,5.0,2.0,4.0,0.0,0.0,36.8,False
PN-100749,25,EQUIPMENT / FURNISHINGS,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,16.0,9,2.25,2.96,26.2,0.9,2.0,2.0,5.0,4.0,11.0,0.111,2.9,36.8,False
PN-102888,24,ELECTRICAL POWER,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,6.0,4,1.0,2.96,11.6,0.95,1.0,2.0,3.0,2.0,5.0,0.0,0.0,36.8,False
PN-102731,35,OXYGEN,BOEING,777-300ER,KRİTİK DEĞİL,YOK,Satınalma,50.0,20,5.0,1.67,32.8,0.9,3.0,6.0,11.0,8.0,17.0,0.15,4.9,36.8,False
PN-104292,34,NAVIGATION,BOEING,737-800,AOG KRİTİK,VAR,Yurtiçi tamir,9.0,5,1.28,0.56,2.8,0.98,1.0,2.0,4.0,2.0,3.0,0.0,0.0,36.8,False
PN-103980,32,LANDING GEAR,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,22.0,19,4.75,0.56,10.2,0.95,2.0,4.0,9.0,3.0,6.0,0.105,1.1,36.8,False
PN-102454,74,IGNITION,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,33.0,1,0.85,2.59,8.5,0.9,2.0,2.0,3.0,3.0,6.0,1.0,8.5,36.8,False
PN-103020,30,ICE & RAIN PROTECTION,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,22.0,3,0.85,2.96,9.9,0.9,1.0,2.0,3.0,2.0,5.0,0.0,0.0,36.8,False
PN-101421,80,STARTING,BOEING,737 MAX 8,KRİTİK DEĞİL,VAR,Yurtiçi tamir,8.0,24,6.0,3.81,89.9,0.9,2.0,2.0,8.0,4.0,27.0,0.042,3.7,36.8,False
PN-102837,77,ENGINE INDICATING,BOEING,737-800,KRİTİK,YOK,Satınalma,22.0,16,4.0,0.56,8.6,0.95,2.0,3.0,7.0,3.0,6.0,0.062,0.5,36.7,False
PN-100863,73,ENGINE FUEL AND CONTROL,AIRBUS,A330-300,KRİTİK,YOK,Satınalma,18.0,11,2.54,1.11,11.0,0.95,2.0,3.0,6.0,3.0,6.0,0.091,1.0,36.7,False
PN-101385,27,FLIGHT CONTROLS,AIRBUS,A319-100,AOG KRİTİK,VAR,Yurtiçi tamir,9.0,2,0.85,0.56,1.8,0.98,1.0,2.0,3.0,2.0,3.0,0.5,0.9,36.7,False
PN-102428,72,ENGINE,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,17.0,41,10.25,0.56,22.4,0.95,2.0,5.0,16.0,4.0,10.0,0.22,4.9,36.7,False
PN-101312,73,ENGINE FUEL AND CONTROL,AIRBUS,A330-300,KRİTİK,YOK,Satınalma,20.0,6,1.46,1.11,6.4,0.95,1.0,2.0,4.0,2.0,4.0,0.167,1.1,36.7,False
PN-103083,27,FLIGHT CONTROLS,BOEING,737-800,KRİTİK,YOK,Satınalma,23.0,12,3.0,0.56,6.6,0.95,2.0,3.0,6.0,3.0,5.0,0.0,0.0,36.7,False
PN-101489,35,OXYGEN,BOEING,787-9,KRİTİK DEĞİL,VAR,Yurtiçi tamir,22.0,15,3.75,3.75,55.5,0.9,3.0,3.0,7.0,7.0,21.0,0.267,14.8,36.7,False
PN-101792,29,HYDRAULIC POWER,AIRBUS,A320-200,KRİTİK,YOK,Satınalma,24.0,5,1.62,0.64,4.0,0.95,1.0,3.0,5.0,2.0,4.0,0.0,0.0,36.7,False
PN-103937,34,NAVIGATION,AIRBUS,A321-200,AOG KRİTİK,VAR,Yurtiçi tamir,6.0,15,3.75,0.69,10.0,0.98,1.0,3.0,7.0,2.0,5.0,0.2,2.0,36.7,False
PN-104624,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,18.0,28,7.0,0.69,19.2,0.95,2.0,4.0,11.0,3.0,8.0,0.179,3.4,36.7,False
PN-102134,32,LANDING GEAR,BOEING,737-800,AOG KRİTİK,VAR,Yurtiçi tamir,8.0,9,1.97,0.56,4.2,0.98,1.0,2.0,4.0,2.0,4.0,0.222,0.9,36.7,False
PN-102450,74,IGNITION,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,31.0,5,1.28,2.59,13.3,0.9,2.0,2.0,4.0,4.0,8.0,0.0,0.0,36.7,False
PN-101077,25,EQUIPMENT / FURNISHINGS,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,31.0,5,1.25,2.59,12.6,0.9,2.0,2.0,4.0,4.0,8.0,0.0,0.0,36.7,False
PN-102092,73,ENGINE FUEL AND CONTROL,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,24.0,3,1.44,0.56,3.2,0.95,1.0,3.0,5.0,2.0,3.0,0.0,0.0,36.7,False
PN-101100,34,NAVIGATION,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,24.0,5,1.36,0.69,3.7,0.95,1.0,2.0,4.0,2.0,3.0,0.2,0.7,36.7,False
PN-102413,49,AIRBORNE AUXILIARY POWER (APU),BOEING,777-F,KRİTİK DEĞİL,YOK,Yurtdışı tamir,35.0,4,0.97,2.5,9.4,0.9,2.0,2.0,3.0,3.0,6.0,0.25,2.3,36.7,False
PN-104695,74,IGNITION,BOEING,777-F,KRİTİK DEĞİL,YOK,Satınalma,30.0,9,2.25,2.5,22.1,0.9,2.0,3.0,6.0,4.0,10.0,0.111,2.5,36.7,False
PN-104651,80,STARTING,BOEING,737-800,KRİTİK,YOK,Satınalma,21.0,19,4.75,0.56,10.3,0.95,2.0,4.0,9.0,3.0,6.0,0.211,2.2,36.6,False
PN-100525,29,HYDRAULIC POWER,AIRBUS,A320-200,KRİTİK,YOK,Yurtdışı tamir,22.0,12,3.0,0.64,7.5,0.95,2.0,3.0,6.0,3.0,5.0,0.167,1.2,36.6,False
PN-103835,71,POWER PLANT,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,23.0,7,1.75,0.69,4.8,0.95,1.0,3.0,5.0,2.0,4.0,0.0,0.0,36.6,False
PN-103970,34,NAVIGATION,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,21.0,3,0.9,2.96,10.8,0.9,2.0,2.0,3.0,3.0,6.0,0.0,0.0,36.6,False
PN-103818,52,DOORS,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,7.0,2,0.53,2.96,6.0,0.95,1.0,2.0,3.0,2.0,4.0,0.0,0.0,36.6,False
PN-100532,25,EQUIPMENT / FURNISHINGS,AIRBUS,A320neo,KRİTİK,VAR,Yurtiçi tamir,15.0,5,1.25,2.59,12.6,0.95,2.0,2.0,4.0,3.0,7.0,0.4,5.0,36.6,False
